@relation 'dataset_corrected_only_comments_and_manually_revised_subset_(only comments and class)-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.instance.Randomize-S42'

@attribute text string
@attribute is_directive {directive,non-directive}

@data
' <code>ClosureUtils</code> provides reference implementations and utilities\n for the Closure functor interface. The supplied closures are:\n <ul>\n <li>Invoker - invokes a method on the input object\n <li>For - repeatedly calls a closure for a fixed number of times\n <li>While - repeatedly calls a closure while a predicate is true\n <li>DoWhile - repeatedly calls a closure while a predicate is true\n <li>Chained - chains two or more closures together\n <li>Switch - calls one closure based on one or more predicates\n <li>SwitchMap - calls one closure looked up from a Map\n <li>Transformer - wraps a Transformer as a Closure\n <li>NOP - does nothing\n <li>Exception - always throws an exception\n </ul>\n All the supplied closures are Serializable.\n\n @since Commons Collections 3.0\n @version $Revision: 815034 $ $Date: 2009-09-15 07:54:39 +0200 (Tue, 15 Sep 2009) $\n\n @author Stephen Colebourne\n @author Matt Benson\n',directive
'{',non-directive
'@since 3.3\n',non-directive
'Note: this is a class name, not a file name or path.\n',directive
'Does nothing\n if the wizard has not been created.\n ',directive
'@return the border Color for widgets that display errors.\n ',non-directive
' Identifier for the color used to counter informations For example in\n \'Foo.txt (2 matches)\', the counter information is \'(2 matches)\'.\n \n',non-directive
'@return the value as an int, or the default value\n',non-directive
'@param parent the parent of the field editor\'s control\n ',non-directive
'Convenience API to\n convert primitive types to strings is provided.\n',directive
'The string representation is\n \"font name-style-height\" (for example \"Times New Roman-bold-36\").\n ',directive
'The framework includes abstract subclasses for composing images (<tt>CompositeImageDescriptor</tt>)\nas well as a ready-made concrete subclass for loading images from files\n(<tt>FileImageDescriptor</tt>).\n',directive
'Programs can be configured to output logging\n                      for some levels while ignoring output for others.\n   ',non-directive
?,non-directive
?,non-directive
' Image registry key for warning image (value\n <code>\"dialog_warning_image\"</code>).\n \n @deprecated use\n             org.eclipse.swt.widgets.Display.getSystemImage(SWT.ICON_WARNING)\n',directive
'This API includes a framework whereby different\ndrivers can be installed dynamically to access different data sources.\n',non-directive
'@param value the new value, or <code>null</code> meaning the empty string\n',directive
' The AbstractColumnLayout is a {',directive
'\n\nProvides the classes necessary to create an applet and the classes an applet\nuses to communicate with its applet context.\n',directive
' Informs this field editor\'s listener, if it has one, about a change to\n the value (<code>VALUE</code> property) provided that the old and new\n values are different.\n \n @param oldValue\n            the old value\n @param newValue\n            the new value\n',non-directive
'These objects\n will be compared, so hashCode(...) and equals(...) must return something \n meaningful.\n \n',directive
'@link #showInformationControl(Rectangle)}.\n ',directive
'@link BrowserInformationControl}\n is not available and this input is passed to a {',directive
' Returns the error message that will be displayed when and if \n an error occurs.\n\n @return the error message, or <code>null</code> if none\n',directive
' Returns whether the dialog should be opened before the operation is run.\n ',non-directive
' Display the given error message. ',non-directive
'@param listener a property change listener, or <code>null</code>\n  to remove\n',directive
'@param buttons\n            The buttons in the button bar; must not be <code>null</code>.\n',directive
' Create a PixelConverter which will convert device-independent units to\n pixels using the specified font.\n \n @param font\n            the font that should be used for pixel conversions.\n',directive
'<p>\n This method should not be use for normal page\n sequencing (back, next) which is handled by the \n container itself. ',directive
'@exception NumberFormatException\n                if the string value does not contain a parsable number.\n ',directive
'@link #getCount(Object)} on <code>a</code> would return 2, while\n calling {',directive
'@param title\n            the dialog\'s title, or <code>null</code> if none\n ',directive
'The agent options are passed as a single string,\nany additional parsing should be performed by the agent itself. \n\n',directive
'These include method invokation, returning a constant,\n cloning and returning the string value.\n\n ',directive
'It differs from \n the various JFace *Registry classes, which also map symbolic IDs onto resources. ',directive
'The attributes and operations of an MXBean use only\n        <em>JMX open types</em> which include basic data types, \n        {',directive
'@link #getNumber(Map,Object)}.\n\n ',non-directive
' Creates a string field editor of unlimited width.\n Use the method <code>setTextLimit</code> to limit the text.\n \n @param name the name of the preference this field editor works on\n @param labelText the label text of the field editor\n @param parent the parent of the field editor\'s control\n',non-directive
' Gets a list based on an iterator.\n ',non-directive
?,non-directive
'This offers several benefits over creating GridData normal way:\n \n <ul>\n ',directive
' <i>(Violation)</i>\n Remove all elements represented in the given collection,\n respecting cardinality.  That is, if the given collection\n <code>coll</code> contains <code>n</code> copies of a given object,\n the bag will have <code>n</code> fewer copies, assuming the bag\n had at least <code>n</code> copies to begin with.\n\n <P>The {@link Collection#removeAll(Collection)} method specifies\n that cardinality should <i>not</i> be respected; this method should\n remove <i>all</i> occurrences of every object contained in the \n given collection.\n\n @param coll  the collection to remove\n @return <code>true</code> if this call changed the collection\n',directive
?,non-directive
?,non-directive
'<h2>Related Documentation</h2>\n\nFor overviews, tutorials, examples, guides, and tool documentation, please see:\n<ul>\n  ',non-directive
?,non-directive
'@param predicate  the predicate to switch on\n ',non-directive
'In all\ncases that time-outs are used, the time-out specifies the minimum time\nthat the method should wait before indicating that it\ntimed-out.  ',directive
'<li>Growth - grows the list instead of erroring when set/add used with index beyond the list size</li>\n',directive
'Progress should be reported to the given progress monitor.\n ',directive
'@throws IllegalStateException if the dialog already has a tray open\n ',directive
'@param parent\n            the parent shell of the dialog, or <code>null</code> if none\n ',directive
'<LI> <I>Logger</I>: The main entity on which applications make \n                logging calls. ',directive
?,non-directive
' Gets a Closure that always throws an exception.\n ',non-directive
?,non-directive
' A preference manager maintains a hierarchy of preference nodes and\n associated preference pages.\n',non-directive
' The Back button has been pressed.\n',non-directive
'<p>The \"Concurrent\" prefix used with some classes in this package is a\nshorthand indicating several differences from similar \"synchronized\"\nclasses. ',directive
' Load the FontRegistry using the ClassLoader from the PlatformUI\n plug-in\n <p>\n This method should only be called from the UI thread. ',directive
'@return <code>true</code> while code from {',directive
'@link #getCount(Object)} on that object must\n be <code>&gt;= n</code> for all <code>n</code> in <code>coll</code>.\n ',directive
'<LI><code>Driver</code> interface -- provides the API for registering\n             and connecting drivers based on JDBC technology (\"JDBC drivers\"); \n             generally used only by the <code>DriverManager</code> class\n\t ',directive
' Returns the container of this wizard.\n\n ',non-directive
' Returns the font in JFace\'s font registry with the given symbolic font\n name. Convenience method equivalent to\n \n <pre>\n JFaceResources.getFontRegistry().get(symbolicName)\n </pre>\n \n If an error occurs, return the default font.\n \n @param symbolicName\n            the symbolic font name\n @return the font\n',directive
' The Cancel button control.\n',non-directive
'It has methods for converting between SWT\nkey events and the internal representation, and vice versa.  ',directive
' Button height in dialog units (value 14).\n \n @deprecated This constant is no longer in use.\n The button heights are now determined by the layout.\n',non-directive
'</ul>\n\n\n',non-directive
'<p>\n The dialog store is used to record state between\n wizard invocations (for example, radio button selections,\n last directory, etc.).\n ',non-directive
'@param parent the parent of the field editor\'s control\n',non-directive
'\n\nProvides the RMI package. RMI is Remote Method Invocation.  It is a\nmechanism that enables an object on one Java virtual machine to invoke\nmethods on an object in another Java virtual machine.  Any object that\ncan be invoked this way must implement the Remote interface. When such\nan object is invoked, its arguments are ``marshalled\'\' and sent from the\nlocal virtual machine to the remote one, where the arguments are\n``unmarshalled.\'\'  When the method terminates, the results are\nmarshalled from the remote machine and sent to the caller\'s virtual\nmachine.  If the method invocation results in an exception being\nthrown, the exception is indicated to caller.\n\n<!--\n<h2>Package Specification</h2>\n\n##### FILL IN ANY SPECS NEEDED BY JAVA COMPATIBILITY KIT #####\n<ul>\n  <li><a href=\"\">##### REFER TO ANY FRAMEMAKER SPECIFICATION HERE #####</a>\n</ul>\n\n<h2>Related Documentation</h2>\n\nFor overviews, tutorials, examples, guides, and tool documentation, please see:\n<ul>\n  <li><a href=\"\">##### REFER TO NON-SPEC DOCUMENTATION HERE #####</a>\n</ul>\n-->\n\n@since JDK1.1\n',directive
'BigInteger is analogous to Java\'s primitive integer types except that it\nprovides arbitrary precision, hence operations on BigIntegers do not overflow\nor lose precision.  ',non-directive
'@param text the text widget to adapt\n',non-directive
?,non-directive
'\n\nProvides classes that are fundamental to the design of the Java\nprogramming language. The most important classes are <code>Object</code>,\nwhich is the root of the class hierarchy, and <code>Class</code>, instances of\nwhich represent classes at run time.\n<p>\nFrequently it is necessary to represent a value of primitive type as\nif it were an object. The wrapper classes <code>Boolean</code>,\n<code>Character</code>, <code>Integer</code>, <code>Long</code>, <code>Float</code>, and\n<code>Double</code> serve this purpose. An object of type <code>Double</code>,\nfor example, contains a field whose type is double, representing that\nvalue in such a way that a reference to it can be stored in a variable\nof reference type. These classes also provide a number of methods for\nconverting among primitive values, as well as supporting such\nstandard methods as equals and hashCode.  The <code>Void</code> class is a\nnon-instantiable class that holds a reference to a <code>Class</code> object\nrepresening the primitive type void.\n<p>\nThe class <code>Math</code> provides commonly used mathematical functions such\nas sine, cosine, and square root. The classes <code>String</code> and\n<code>StringBuffer</code> similarly provide commonly used operations on\ncharacter strings.\n<p>\nClasses <code>ClassLoader</code>, <code>Process</code>, <code>Runtime</code>,\n<code>SecurityManager</code>, and <code>System</code> provide \"system operations\"\nthat manage the dynamic loading of classes, creation of external processes,\nhost environment inquiries such as the time of day, and enforcement of\nsecurity policies.\n<p>\nClass <code>Throwable</code> encompasses objects that may be thrown by the\nthrow statement (&sect;14.16). Subclasses of <code>Throwable</code> represent errors\nand exceptions.\n<p>\n<h2>Package Specification</h2>\n\n\n<a name=\"charenc\"></a>\n<h3>Character Encodings</h3>\n\nThe specification of the {@link java.nio.charset.Charset\njava.nio.charset.Charset} class describes the naming conventions for character\nencodings as well as the set of standard encodings that must be supported by\nevery implementation of the Java platform.\n\n\n<!--\n<ul>\n  <li><a href=\"\">##### REFER TO ANY FRAMEMAKER SPECIFICATION HERE #####</a>\n</ul>\n\n<h2>Related Documentation</h2>\n\nFor overviews, tutorials, examples, guides, and tool documentation, please see:\n<ul>\n  <li><a href=\"\">##### REFER TO NON-SPEC DOCUMENTATION HERE #####</a>\n</ul>\n-->\n\n@since JDK1.0\n',directive
'@param parent\n            the parent shell of the dialog, or <code>null</code> if none\n ',directive
'@link Transformer} is more appropriate.\n ',non-directive
' Create the combo box field editor.\n \n @param name the name of the preference this field editor works on\n @param labelText the label text of the field editor\n @param entryNamesAndValues the names (labels) and underlying values to populate the combo widget.  These should be\n arranged as: { {name1, value1}, {name2, value2}, ...}\n @param parent the parent composite\n',directive
'<P>\nThe manifest of the agent JAR file must contain the attribute <code>Premain-Class</code>. ',directive
'No property change events are reported by changing default\n values.\n ',directive
' Notifies any selection changed listeners that the selected page\n has changed.\n Only listeners registered at the time this method is called are notified.\n\n @param event a selection changed event\n\n @see IPageChangedListener#pageChanged\n \n @since 3.1\n',directive
' Shows the error message set via <code>setErrorMessage</code>.\n',directive
' Performs any actions appropriate in response to the user \n having pressed the Cancel button, or refuse if canceling\n now is not permitted.\n\n ',non-directive
' <b>NOTE:</b> As no shell has been specified this method will\n not open any blocked notification until all other modal shells\n have been closed.\n \n',directive
'@link java.util.concurrent.Callable}, the\nresult-bearing analog of {',directive
'@return <code>true</code> if any of the managed popups have the focus, <code>false</code> otherwise\n',non-directive
'Note that the window will have no visual\n representation (no widgets) until it is told to open. ',directive
'@param information the information to show\n ',non-directive
'Long-running operations are typically presented at the UI via a modal dialog\n showing a progress indicator and a Cancel button.\n ',directive
'If the listener is not registered, this\n call has no effect.\n\n ',directive
'Example: <code>Times New Roman-bold-36</code>.\n ',directive
' Validates the input.\n <p>\n The default implementation of this framework method delegates the request\n to the supplied input validator object; if it finds the input invalid,\n the error message is displayed in the dialog\'s message line. This hook\n method is called whenever the text changes in the input field.\n </p>\n',directive
'@author Arron Bates\n ',non-directive
' Release the page managed by this node, and any SWT resources\n held onto by this node (Images, Fonts, etc).  \n\n ',non-directive
' Sets the range of valid values for this field.\n \n',non-directive
'<p>\nYou may also consider using \n{',directive
'@deprecated As of 3.2, replaced by Platform UI\'s field assist support *\n',directive
?,non-directive
' Constructs an <code>LineIndexOutOfBoundsException</code> with no detail message.\n',non-directive
' Undoes everything that was done by a previous call to create(...), given\n the object that was returned by create(...).\n \n',non-directive
'Otherwise\n <code>null</code> is returned.\n \n',directive
' Determines whether extra horizontal or vertical space should be allocated to\n this control\'s column when the layout resizes. If any control in the column\n is set to grab horizontal then the whole column will grab horizontal space.\n If any control in the row is set to grab vertical then the whole row will grab\n vertical space.\n \n @param horizontal true if the control\'s column should grow horizontally\n @param vertical true if the control\'s row should grow vertically\n @return this\n',directive
' The Next button has been pressed.\n',non-directive
' Creates a new path field editor \n',non-directive
' Lightweight descriptor for an SWT color. Each ColorDescriptor will create a particular SWT \n Color on demand. This object will be compared so hashCode(...) and equals(...) must \n return meaningful values.\n \n @since 3.1\n',directive
' Sets the default value for the string-valued preference with the\n given name. \n <p>\n Note that the current value of the preference is affected if\n the preference\'s current value was its old default value, in which\n case it changes to the new default value. If the preference\'s current\n is different from its old default value, its current value is\n unaffected. No property change events are reported by changing default\n values.\n </p>\n\n @param name the name of the preference\n @param defaultObject the new default value for the preference\n',directive
'<li><p>The agent class must implement a public static <code>agentmain</code> method. ',directive
'<li><tt>TemplatePreferencePage</tt> allows\nthe user to access the templates within a <tt>TemplateStore.</tt></li>\n</ul>\n',non-directive
?,non-directive
?,non-directive
'DeviceResourceDescriptors\n are managed by a ResourceRegistry.\n \n',non-directive
'Also includes classes for compressing and decompressing\ndata using the DEFLATE compression algorithm, which is used by the\nZIP and GZIP file formats. ',non-directive
'It\n cannot be changed or replaced by \"global\" error handling facility (\n <code>org.eclipse.ui.statushandler.StatusManager</code>). ',directive
'@exception NumberFormatException if the <code>String</code> does not\n   contain a parsable integer\n',directive
'If the value is a <code>String</code> and it equals \'true\' ignoring case\n then <code>true</code> is returned, otherwise <code>false</code>.\n ',non-directive
'If an SWT image was allocated, it is disposed.\n ',directive
'To create a resource manager on a particular display, \n use <code>new LocalResourceManager(JFaceResources.getResources(myDisplay))</code>.\n ',directive
'@return the node that was removed, or <code>null</code> if there was no\n         node at the given path\n',directive
' Gets a new Properties object initialised with the values from a Map.\n A null input will return an empty properties object.\n\n @param map  the map to convert to a Properties object, may not be null\n @return the properties object\n',directive
'@since 1.4\n\n\n',non-directive
' The button bar; <code>null</code> until dialog is layed out.\n',non-directive
?,non-directive
' Create a new Closure that calls another closure based on the\n result of the specified predicate.\n \n @see org.apache.commons.collections.functors.IfClosure\n \n @param predicate  the validating predicate\n @param trueClosure  the closure called if the predicate is true\n @return the <code>if</code> closure\n @throws IllegalArgumentException if the predicate is null\n @throws IllegalArgumentException if the closure is null\n @since Commons Collections 3.2\n',directive
' Instructs the GridLayout to ignore this control when performing layouts. \n \n',non-directive
' Clear the error message. Restore the previously displayed message if\n there is one, if not restore the title label.\n  \n',directive
'@link java.util.Map Map} implementation will also implement\n{',non-directive
'<strong>Must only be called when the information control is instanceof {',directive
' Create a new Transformer that calls each transformer in turn, passing the \n result into the next transformer.\n \n @see org.apache.commons.collections.functors.ChainedTransformer\n \n @param transformers  an array of transformers to chain\n @return the transformer\n @throws IllegalArgumentException if the transformers array is null\n @throws IllegalArgumentException if any transformer in the array is null\n',directive
' <p>\n <b>You can only add the {',directive
?,non-directive
'@return whether the mouse cursor is allowed to leave the subject area without closing the hover\n',non-directive
'@throws BadLocationException if accessing the document failed\n',non-directive
'A standard file \n dialog appears when the user presses the change button.\n',non-directive
'@param sequence a read-write list of preference nodes\n  (element type: <code>IPreferenceNode</code>)\n  in the given order\n ',directive
'Equivalent to <code>String.valueOf(value.floatValue())</code>.\n\n ',directive
?,non-directive
?,non-directive
' Minimal interface to a page change provider. Used for dialogs which can\n switch between multiple pages.\n \n @since 3.1\n',directive
' A field editor for an integer type preference.\n',non-directive
'@param replacer the information control replacer for this manager, or\n            <code>null</code> if no information control replacing should\n            take place\n',directive
'The default-default values for the primitive types are as follows:\n <ul>\n \t',directive
'@link ITextSelection#isEmpty()}, which returns\n <code>true</code> only for invalid selections.\n \n',directive
' Returns the cause of this throwable or <code>null</code> if the\n cause is nonexistent or unknown. \n \n @return the cause or <code>null</code>\n @since 3.1\n',non-directive
'It uses the default partitioning.\n',directive
' Create a new Closure that calls one of two closures depending \n on the specified predicate.\n \n',directive
'@param value the value to be converted\n ',non-directive
'@return <code>true</code> if the iterator has a previous element\n',non-directive
'This method replaces an existing image descriptor associated with the \n given key, but fails if there is a real image associated with it.\n\n ',directive
'@since 3.1\n',non-directive
'If there is already a processor registered for this type, the new processor\n is registered instead of the old one.\n\n ',directive
?,non-directive
'<li><code>MessageDialog.WARNING</code> for a dialog with a\n            warning image</li>\n            </ul>\n ',directive
' Sets whether JFace dialogs that support help control should\n show the control by default. If set to <code>false</code>, \n help control can still be shown on a per-dialog basis.\n \n @param helpAvailable <code>true</code> to show the help\n control, <code>false</code> otherwise.\n @since 3.2\n',directive
'<li>Typed - ensures that only elements that are of a specific type can be added\n',directive
'If the region containing the position is replaced,\n the position is placed at the same location inside the replacement text, but\n always inside the replacement text.\n\n ',directive
' PixelConverter performs various conversions from device-independent units\n (such as DLUs or characters) to pixels. It can be associated with a control or\n a font. In the case of a control, the font used by the control at the time\n the PixelConverter is created is used for the pixel calculations. In the case\n of a specific font, the supplied font is used for the calculations.\n \n The control and/or font must not be disposed at the time the PixelConverter\n is created.\n \n @since 3.5\n',directive
' Thrown to indicate that an attempt to create or modify a {@link Range} failed because it would\n have resulted in an illegal range. A range is illegal if its length is &lt;= 0 or if its start\n line is &lt; 0.\n\n @since 3.2\n',non-directive
'A size\n        of 0 has special semantics defined by GridLayout. \n ',directive
'<li>Synchronized - synchronizes method access for multi-threaded environments\n',directive
'@see Dialog#getDialogBoundsStrategy()\n',non-directive
' Creates a new path field editor \n',non-directive
'<p>\n A wizard selection page should present a list of wizard nodes \n corresponding to other wizards. ',directive
'<li> An object is <em>softly reachable</em> if it is not strongly reachable but\ncan be reached by traversing a soft reference.\n\n',directive
'@param parentRegistry global registry \n',non-directive
'<p>\n Note: Trays may not be supported with all custom layouts on the dialog\'s\n Shell. ',directive
'@link org.eclipse.jface.text.information.IInformationProvider}s use to encode the information they provide.\n ',directive
'@return the string to display, or <code>null</code> if null was passed\n         in\n \n ',directive
'The class must define a <code>run</code> method that takes a progress monitor.\n ',directive
'The values are in the\n same order as the keys.\n \n',directive
'@param parent\n            the parent composite to contain the buttons\n',non-directive
' Sets the annotation model.\n\n @param model the annotation model, possibly <code>null</code>\n @see IVerticalRulerColumn#setModel(IAnnotationModel)\n',non-directive
'<p>\n',non-directive
'@param hIndent distance to move to the right (negative values move left)\n ',non-directive
'<code>getCurrentPage</code> returns the\n current page; <code>showPage</code> programmatically changes the\n the current page. ',non-directive
'@return the value as an RGB color value\n ',non-directive
'If <code>getImage(Object)</code> returns <code>null</code>, a default image is used.\n   ',directive
'@link org.apache.commons.collections.Put Put} and\n{',non-directive
'the computed hues are not equidistant,\n but adaptively distributed on the color wheel.\n ',directive
'</p>\n \n ',non-directive
' <p>Does not modify the reciever.</p>\n \n ',directive
'\nProvides a framework for rule based text scanning\nand uses the framework to provide rule-driven default implementations of\n<tt>IPresentationDamager</tt>, <tt>IPresentationRepairer</tt> and <tt>IDocumentPartitioner</tt>.\n<h2>\nPackage Specification</h2>\n<tt>RuleBasedScanner</tt> is a document-based scanner controlled by <tt>IRule</tt>\nobjects. When evaluated an <tt>IRule</tt> always returns an <tt>IToken</tt>.\nThe package provides a set of rules whereby <tt>PatternRule</tt> is the\nmost important one. <tt>PatternRule</tt> defines a pattern-configurable\nrule.\n',non-directive
'</p>\n <p>\n Note that the preferred way of re-initializing a preference to its\n default value is to call <code>setToDefault</code>.\n ',directive
'Convenience method equivalent to\n \n <pre>\n JFaceResources.getFontRegistry().get(JFaceResources.BANNER_FONT)\n </pre>\n \n ',directive
?,non-directive
' Vertical margin in dialog units (value 7).\n',non-directive
'@param newValue the new value, or <code>null</code>\n',directive
'@version $Revision: 814997 $ $Date: 2009-09-15 07:29:56 +0200 (Tue, 15 Sep 2009) $\n\n ',non-directive
'@param tableTree\n            the control\n \n ',non-directive
'However,\n the value the parents return from this method is ignored.\n\n ',directive
'@param prefStore\n            The prefStore to set. ',non-directive
' Checks if the given parent is the current parent of the\n supplied control; throws an (unchecked) exception if they\n are not correctly related.\n\n @param control the control\n @param parent the parent control\n',non-directive
'An existing viewer may be retargeted by giving\nit a different object as input; the viewer is responsible for informing\nthe content provider of these kinds of wholesale changes (<tt>IContentProvider.inputChanged</tt>).\n',directive
'<p>\n The color at a given <code>index</code> has the hue returned by\n {',directive
' The label for skip buttons.\n',non-directive
'@param button\n            The button to use; must not be <code>null</code>.\n',directive
'@author Arun Mammen Thomas\n ',non-directive
'</p>\n\n ',non-directive
'@link\njava.util.concurrent.SynchronousQueue}, {',directive
'<li>Predicated - ensures that only elements that are valid according to a predicate can be added\n',directive
'<P>\n<b>NOTE:</b> Many of the new features are optional; consequently, there is \nsome variation in drivers and the features they support. ',directive
'\n<p>\nThis package contains implementations of the\n{',non-directive
' A position updater that never deletes a position. If the region containing\n the position is deleted, the position is moved to the beginning/end (falling\n together) of the change. If the region containing the position is replaced,\n the position is placed at the same location inside the replacement text, but\n always inside the replacement text.\n\n @since 3.1\n',directive
'@param dlus\n            the number of horizontal dialog units\n ',non-directive
'The currently displayed message is saved\n and will be redisplayed when the error message is set to\n <code>null</code>.\n \n',directive
' Finds and returns the contribution node at the given path.\n\n ',non-directive
?,non-directive
' Creates a new object and saves in it the current enable/disable state of\n the given control and its descendents; the controls that are saved are\n also disabled.\n \n',directive
' Shortens the given text <code>textValue</code> so that its width in\n pixels does not exceed the width of the given control. ',non-directive
?,non-directive
?,non-directive
'No event is fired in\n the case where <code>setColorValue(RGB)</code> is invoked.\n \n',directive
'\n The field editor preference page implementation of a <code>PreferencePage</code>\n method loads all the field editors with their default values.\n',non-directive
?,non-directive
'<p>Note: None of the classes in this package maintain global state.\n<br>&nbsp;\n',directive
'Public equivalent to\n <code>setSelectedNodePreference</code>.\n \n',directive
'</dd>\n<dt><code>Can-Set-Native-Method-Prefix</code></dt>\n',non-directive
' Sets the parent ruler - the delegating column must call this method as soon as it creates its\n control.\n\n @param parentRuler the parent ruler\n',directive
'<li>Invoker - returns the result of a method call on the input object\n ',directive
' Defines a simple key value pair.\n ',non-directive
